"","state","district","last_name","first_name","party","url","phone","state.y","state_code","district.y","total_hh","hh_qualify","enrollments","total_support","percent_eligible","HHEoE"
"154","MI","04","Huizenga","Bill","Republican","https://huizenga.house.gov","202-225-4401","Michigan","26","2604",301955,124654.409321452,65181.1302337982,34431213.0635,41.2824458351251,52.2894702149786
"155","MN","04","McCollum","Betty","Democrat","https://mccollum.house.gov","202-225-6631","Minnesota","27","2704",278173,95914.0435884151,39284.1815579842,21657660.2501,34.4799975513134,40.9576951281086
"156","MO","04","Alford","Mark","Republican","https://alford.house.gov/","202-225-2876","Missouri","29","2904",292105,121311.315461118,36021.9439047483,18810579.2501,41.5300373020379,29.6938037212975
"157","MS","04","Ezell","Walter","Republican","https://ezell.house.gov/","202-225-5772","Mississippi","28","2804",281693,136870.062730409,55492.6049909473,30818509.25,48.5883790972473,40.5440049371865
"158","NC","04","Foushee","Valerie","Democrat","https://foushee.house.gov/","202-225-1784","North Carolina","37","3704",296210,114309.940606889,58384.0508756968,32512100.1875,38.5908445382968,51.0752175757654
"159","NJ","04","Smith","Christopher","Republican","https://chrissmith.house.gov","202-225-3765","New Jersey","34","3404",289050,104364.203548653,20135.7652242218,8623059.9382,36.1059344572404,19.2937468399639
"160","NV","04","Horsford","Steven","Democrat","https://horsford.house.gov","202-225-9894","Nevada","32","3204",270979,124190.410672131,79316.0710232187,42447124.125,45.8302712284461,63.8665019255128
"161","NY","04","D'Esposito","Anthony","Republican","https://desposito.house.gov/","202-225-5516","New York","36","3604",246626,62839.8359420274,22958.9425221848,9813174.4067,25.4798098911012,36.5356500029145
"162","OH","04","Jordan","Jim","Republican","https://jordan.house.gov","202-225-2676","Ohio","39","3904",303436,105478.441372973,65763.6527160582,34689724.1255,34.7613471615012,62.3479564734156
"163","OK","04","Cole","Tom","Republican","https://cole.house.gov","202-225-6165","Oklahoma","40","4004",304089,130233.433883802,63009.5253873808,49702194.75,42.8274070695756,48.3819887937531
"164","OR","04","Hoyle","Valerie","Democrat","https://hoyle.house.gov/","202-225-6416","Oregon","41","4104",295412,161817.042523953,59170.9242395038,27241544.375,54.7767330115068,36.5665589461908
"165","PA","04","Dean","Madeleine","Democrat","https://dean.house.gov","202-225-4731","Pennsylvania","42","4204",294935,71135.3541666498,19687.3416120918,9283661.2973,24.1189937330767,27.6758889341719
"166","SC","04","Timmons","William","Republican","https://timmons.house.gov","202-225-6030","South Carolina","45","4504",290732,114478.527840246,65038.5654955958,35860491.3755,39.3759640632079,56.8128947171271
"167","TN","04","DesJarlais","Scott","Republican","https://desjarlais.house.gov","202-225-6831","Tennessee","47","4704",286280,134245.350617373,53949.4341419948,24122988.8125,46.8930245275159,40.1871900173005
"168","TX","04","Fallon","Patrick","Republican","https://fallon.house.gov","202-225-6673","Texas","48","4804",289884,91880.3803039779,22636.3529546062,11867594.8441,31.6955679871873,24.6367645407169
"169","UT","04","Owens","Clarence","Republican","https://owens.house.gov","202-225-3011","Utah","49","4904",247813,70530.7761869655,13663.8547202136,7432628.1098,28.4612898382916,19.3728971364117
"170","VA","04","McClellan","Jennifer","Democrat","","202-225-6365","Virginia","51","5104",315656,143474.457734231,72984.2793440193,39670331.5625,45.4527896616033,50.8691794320729
"171","WA","04","Newhouse","Dan","Republican","https://newhouse.house.gov","202-225-5816","Washington","53","5304",266056,151013.298870197,64396.4682508188,37153883.4375,56.7599674016738,42.6429120697313
"172","WI","04","Moore","Gwen","Democrat","https://gwenmoore.house.gov","202-225-4572","Wisconsin","55","5504",300580,163940.298869804,121615.438881074,70179694.125,54.5413197384402,74.1827602605857
"173","AL","05","Strong","Dale","Republican","https://strong.house.gov/","202-225-4801","Alabama","01","0105",287649,106625.799193983,40507.9228080798,20314733.5948,37.068023596113,37.9907331192747
"174","AZ","05","Biggs","Andy","Republican","https://biggs.house.gov","202-225-2635","Arizona","04","0405",281247,82903.4384149234,23966.6792469208,11044432.5472,29.4770925254042,28.9091498557273
"175","CA","05","McClintock","Tom","Republican","https://mcclintock.house.gov","202-225-2511","California","06","0605",281610,123359.348956506,41563.974052411,19040274.4068,43.805031410996,33.6934122982975
"176","CO","05","Lamborn","Doug","Republican","https://lamborn.house.gov","202-225-4422","Colorado","08","0805",273098,115623.066688207,31254.1532541207,17011994.1563,42.3375735773263,27.0310710045442
"177","CT","05","Hayes","Jahana","Democrat","https://hayes.house.gov","202-225-4476","Connecticut","09","0905",281999,115825.737624156,39811.8459726061,22715471.6885,41.0731022536093,34.3721929074106
"178","FL","05","Rutherford","John","Republican","https://rutherford.house.gov","202-225-2501","Florida","12","1205",302259,97041.371624889,29384.0123310532,14747505.7814,32.1053704355831,30.2798814969726
"179","GA","05","Williams","Nikema","Democrat","https://nikemawilliams.house.gov","202-225-3801","Georgia","13","1305",334653,131642.220750012,65938.0067025666,41333128.25,39.3369313139318,50.0887985077238
"180","IL","05","Quigley","Mike","Democrat","https://quigley.house.gov","202-225-4061","Illinois","17","1705",328890,84830.3122606083,20614.0633604578,7408750.1722,25.792913211289,24.3003506778674
"181","IN","05","Spartz","Victoria","Republican","https://spartz.house.gov","202-225-2276","Indiana","18","1805",294918,103005.819821824,42075.2157634913,22669364.938,34.9269355623678,40.8474160355906
"182","KY","05","Rogers","Harold","Republican","https://halrogers.house.gov","202-225-4601","Kentucky","21","2105",285781,196411.731971766,109802.277976497,65366345.375,68.728058188531,55.904134072949
"183","LA","05","Letlow","Julia","Republican","https://letlow.house.gov","202-225-8490","Louisiana","22","2205",281328,193031.980582727,98264.0724626302,53581005.625,68.6145639903339,50.905591998792
"184","MA","05","Clark","Katherine","Democrat","https://katherineclark.house.gov","202-225-2836","Massachusetts","25","2505",306031,95396.874289423,22370.7273123415,10306551.7971,31.1722911369838,23.4501680259159
"185","MD","05","Hoyer","Steny","Democrat","https://hoyer.house.gov","202-225-4131","Maryland","24","2405",278426,60210.6848026764,21053.0677519959,9909318.0785,21.625381538605,34.9656673412558
"186","MI","05","Walberg","Tim","Republican","https://walberg.house.gov","202-225-6276","Michigan","26","2605",303035,127048.253765807,46978.4808228078,26745853.5,41.9252739009709,36.9768803823191
"187","MN","05","Omar","Ilhan","Democrat","https://omar.house.gov","202-225-4755","Minnesota","27","2705",303338,119851.187382651,44152.5493142614,23434838.5944,39.5107725977791,36.8394759188282
"188","MO","05","Cleaver","Emanuel","Democrat","https://cleaver.house.gov","202-225-4535","Missouri","29","2905",325605,136588.640649621,60423.6273613269,33126145.938,41.9491840265417,44.2376665247927
"189","NC","05","Foxx","Virginia","Republican","https://foxx.house.gov","202-225-2071","North Carolina","37","3705",302000,155660.81854841,68736.7894250757,38966774.8755,51.5433174001357,44.1580547154189
"190","NJ","05","Gottheimer","Josh","Democrat","https://gottheimer.house.gov","202-225-4465","New Jersey","34","3405",283342,71164.1906918972,13805.0716537313,5633596.4847,25.116004931107,19.398902059464
"191","NY","05","Meeks","Gregory","Democrat","https://meeks.house.gov","202-225-3461","New York","36","3605",248685,126338.503785276,81124.9934924206,41352956.5,50.8026233127353,64.2124064016939
"192","OH","05","Latta","Robert","Republican","https://latta.house.gov","202-225-6405","Ohio","39","3905",314798,128213.374103575,69577.5327256504,37432687.563,40.7287765816731,54.2669851816264
"193","OK","05","Bice","Stephanie","Republican","https://bice.house.gov","202-225-2132","Oklahoma","40","4005",312302,121232.376288066,60318.7931483028,41367578.6875,38.8189561027677,49.7546901208771
"194","OR","05","Chavez-DeRemer","Lori","Republican","https://chavez-deremer.house.gov/","202-225-5711","Oregon","41","4105",276348,101963.683321721,29360.8409348847,11766743.4066,36.896841417966,28.7953906512419
"195","PA","05","Scanlon","Mary","Democrat","https://scanlon.house.gov","202-225-2011","Pennsylvania","42","4205",290098,104737.370956544,45370.096458526,24514592.25,36.1041341052142,43.3179638214807
"196","SC","05","Norman","Ralph","Republican","https://norman.house.gov","202-225-5501","South Carolina","45","4505",284078,121646.405332353,52243.3672320547,28139823.7505,42.8214804850615,42.9469059026605
"197","TN","05","Ogles","William","Republican","https://ogles.house.gov/","202-225-4311","Tennessee","47","4705",296179,97007.7461277918,26533.5459480516,12042739.6253,32.7530804438505,27.3519868331937
"198","TX","05","Gooden","Lance","Republican","https://gooden.house.gov","202-225-3484","Texas","48","4805",263600,100933.070984678,37413.9752542888,18971866.3444,38.2902393720325,37.0681035356275
"199","VA","05","Good","Robert","Republican","https://good.house.gov","202-225-4711","Virginia","51","5105",309848,143110.072570732,46206.8466693329,24591109.5005,46.187186159256,32.2876271664913
"200","WA","05","McMorris Rodgers","Cathy","Republican","https://mcmorris.house.gov","202-225-2006","Washington","53","5305",303689,164657.616024399,45017.8450738548,23304382.3125,54.2191571062499,27.3402750269286
"201","WI","05","Fitzgerald","Scott","Republican","https://fitzgerald.house.gov","202-225-5101","Wisconsin","55","5505",303343,78527.6081610938,33316.2072959425,16543745.2815,25.8873974876934,42.4261072966806
"202","AL","06","Palmer","Gary","Republican","https://palmer.house.gov","202-225-4921","Alabama","01","0106",273202,102861.594974765,36437.8925540998,21160016.5313,37.650381393535,35.4241955542679
"203","AZ","06","Ciscomani","Juan","Republican","https://ciscomani.house.gov/","202-225-2542","Arizona","04","0406",331051,141196.450691343,54042.0931653893,25688509.2505,42.6509663741669,38.2743991798531
"204","CA","06","Bera","Ami","Democrat","https://bera.house.gov","202-225-5716","California","06","0606",273992,130742.180942051,53260.5063918619,29105680.8755,47.7175176435993,40.7370490595295
"205","CO","06","Crow","Jason","Democrat","https://crow.house.gov","202-225-7882","Colorado","08","0806",276617,101655.58454312,30674.6046923127,15649979.6565,36.7495795786666,30.1750315343483
"206","FL","06","Waltz","Michael","Republican","https://waltz.house.gov","202-225-2706","Florida","12","1206",322922,161606.356648454,78048.3200473854,42889804.5,50.0450129283401,48.2953280217594
"207","GA","06","McCormick","Rich","Republican","https://mccormick.house.gov/","202-225-4272","Georgia","13","1306",278450,53461.5105792378,12505.7580741384,5432184.3754,19.1996805815183,23.3920776623081
"208","IL","06","Casten","Sean","Democrat","https://casten.house.gov","202-225-4561","Illinois","17","1706",292982,82554.3813072954,22541.681991861,10051181.9846,28.1772877880878,27.305252168208
"209","IN","06","Pence","Greg","Republican","https://pence.house.gov","202-225-3021","Indiana","18","1806",291540,106998.049372483,41582.6941279012,21089833.4073,36.7009842122807,38.8630394402266
"210","KY","06","Barr","Garland","Republican","https://barr.house.gov","202-225-4706","Kentucky","21","2106",300239,128793.972510314,72286.8450777635,39938182.5,42.8971494410501,56.1259534656984
"211","LA","06","Graves","Garret","Republican","https://garretgraves.house.gov","202-225-3901","Louisiana","22","2206",293112,120615.256239219,80031.7362773294,37915092.6255,41.1498868143301,66.3529131991401
"212","MA","06","Moulton","Seth","Democrat","https://moulton.house.gov","202-225-8020","Massachusetts","25","2506",302561,101824.007419095,24421.6039835437,12292283.5316,33.6540424638651,23.9841316429704
"213","MD","06","Trone","David","Democrat","https://trone.house.gov","202-225-2721","Maryland","24","2406",287775,102531.479275568,29157.3598732994,14509453.3128,35.6290432718506,28.4374711837862
"214","MI","06","Dingell","Debbie","Democrat","https://debbiedingell.house.gov","202-225-4071","Michigan","26","2606",305747,94083.3385511833,59541.8630526422,16010382.3128,30.7716309730539,63.2862991147473
"215","MN","06","Emmer","Tom","Republican","https://emmer.house.gov","202-225-2331","Minnesota","27","2706",259939,78926.5730759541,25235.7983369893,12945724.4847,30.3634980037448,31.9737666966789
"216","MO","06","Graves","Sam","Republican","https://graves.house.gov","202-225-7041","Missouri","29","2906",289057,112991.408876318,33580.4265919641,16828127.3131,39.0896635875684,29.7194511741347
"217","NC","06","Manning","Kathy","Democrat","https://manning.house.gov","202-225-3065","North Carolina","37","3706",295703,135237.667470297,81016.2616394259,44588643.625,45.7342899701041,59.9065801376824
"218","NJ","06","Pallone","Frank","Democrat","https://pallone.house.gov","202-225-4671","New Jersey","34","3406",277003,94049.9455669588,24409.9336769559,11537132.0628,33.9526812225712,25.9542241410202
"219","NY","06","Meng","Grace","Democrat","https://meng.house.gov","202-225-2601","New York","36","3606",277703,139852.044486456,69745.8649690984,32241209.5005,50.3602930060015,49.8711800926534
"220","OH","06","Johnson","Bill","Republican","https://billjohnson.house.gov","202-225-5705","Ohio","39","3906",323315,160574.460137616,69883.1849160974,37852676.5,49.6650202241206,43.5207347770039
"221","OR","06","Salinas","Andrea","Democrat","https://salinas.house.gov/","202-225-5643","Oregon","41","4106",264120,123793.382809208,12187.3358449324,14379519.469,46.8701282785128,9.84490088918215
"222","PA","06","Houlahan","Chrissy","Democrat","https://houlahan.house.gov","202-225-4315","Pennsylvania","42","4206",286144,94087.0043947302,29126.2859310256,16318514.3126,32.8809985163869,30.9567576504295
"223","SC","06","Clyburn","James","Democrat","https://clyburn.house.gov","202-225-3315","South Carolina","45","4506",293692,163475.128659776,76041.612171949,45852086,55.6620979324517,46.5157071876093
"224","TN","06","Rose","John","Republican","https://johnrose.house.gov","202-225-4231","Tennessee","47","4706",310296,135890.49022666,40220.9234152459,23429830.9068,43.7938259683205,29.5980412964579
"225","TX","06","Ellzey","Jake","Republican","https://ellzey.house.gov","202-225-2002","Texas","48","4806",255056,98239.8725928327,38089.117974298,19380779.0631,38.5169816012298,38.7715465920472
"226","VA","06","Cline","Ben","Republican","https://cline.house.gov","202-225-5431","Virginia","51","5106",306777,134556.702959902,42711.8224391844,22222126.2188,43.8614051770186,31.7426196537473
"227","WA","06","Kilmer","Derek","Democrat","https://kilmer.house.gov","202-225-5916","Washington","53","5306",311493,128273.493004431,33747.6307829064,19064132.1255,41.1802168923318,26.3091227910513
"228","WI","06","Grothman","Glenn","Republican","https://grothman.house.gov","202-225-2476","Wisconsin","55","5506",306079,106866.281256498,44197.8478801714,23538534.375,34.9146074237364,41.3580854133856
"229","AL","07","Sewell","Terri","Democrat","https://sewell.house.gov","202-225-2665","Alabama","01","0107",276421,165793.959943192,94455.3589485461,57470661.625,59.9787859617006,56.971532003283
"230","AZ","07","Grijalva","Raúl","Democrat","https://grijalva.house.gov","202-225-2435","Arizona","04","0407",284579,198663.521151147,88999.4369958925,59361996.125,69.8096209316734,44.7990836365878
"231","CA","07","Matsui","Doris","Democrat","https://matsui.house.gov","202-225-7163","California","06","0607",263904,125008.705038383,51076.1691654698,26832641.0625,47.3690073050741,40.8580899624449
"232","CO","07","Pettersen","Brittany","Democrat","https://pettersen.house.gov/","202-225-2645","Colorado","08","0807",296262,91438.518231863,24830.9394616942,12543314.594,30.8640724196363,27.1558856615871
"233","FL","07","Mills","Cory","Republican","https://mills.house.gov/","202-225-4035","Florida","12","1207",307938,112933.699792856,65890.1463773102,35425330.813,36.6741681094428,58.3440961361989
"234","GA","07","McBath","Lucy","Democrat","https://mcbath.house.gov","202-225-4501","Georgia","13","1307",258882,84537.9781601529,26305.2398945947,14083242.9691,32.6550235860944,31.1164762478241
"235","IL","07","Davis","Danny","Democrat","https://davis.house.gov","202-225-5006","Illinois","17","1707",320763,162048.027884273,76296.3166065748,47734693.5,50.5195511590406,47.0825332481441
"236","IN","07","Carson","André","Democrat","https://carson.house.gov","202-225-4011","Indiana","18","1807",309007,153356.96570712,85849.6618988401,49761981,49.6289617086733,55.9802820191389
"237","MA","07","Pressley","Ayanna","Democrat","https://pressley.house.gov","202-225-5111","Massachusetts","25","2507",303021,160356.465511839,54640.6105677814,30350089.6885,52.9192582401349,34.0744667783584
"238","MD","07","Mfume","Kweisi","Democrat","https://mfume.house.gov","202-225-4741","Maryland","24","2407",314599,174901.415643087,94458.4851610344,54661225.75,55.595032292883,54.0067013258437
"239","MI","07","Slotkin","Elissa","Democrat","https://slotkin.house.gov","202-225-4872","Michigan","26","2607",309281,109159.645494083,43600.4459192478,21301832.375,35.2946496855878,39.9419086805401
"240","MN","07","Fischbach","Michelle","Republican","https://fischbach.house.gov","202-225-2165","Minnesota","27","2707",288540,128293.794758933,27891.0659595663,13930899.1253,44.4630882231,21.7399960863067
"241","MO","07","Burlison","Eric","Republican","https://burlison.house.gov/","202-225-6536","Missouri","29","2907",310600,145051.967021905,36805.6440262017,18413987.5011,46.700568905958,25.3741088672334
"242","NC","07","Rouzer","David","Republican","https://rouzer.house.gov","202-225-2731","North Carolina","37","3707",304427,147229.048914397,82448.4262643466,48020049.375,48.362677723854,56.000107908246
"243","NJ","07","Kean","Thomas","Republican","https://kean.house.gov/","202-225-5361","New Jersey","34","3407",291267,65054.3962806448,10930.8125582969,4763039.80488,22.3349697290269,16.8025732052625
"244","NY","07","Velázquez","Nydia","Democrat","https://velazquez.house.gov","202-225-2361","New York","36","3607",287909,127983.711856791,81123.5477905675,41552664.375,44.4528347001277,63.3858376301368
"245","OH","07","Miller","Max","Republican","https://maxmiller.house.gov/","202-225-3876","Ohio","39","3907",318178,92046.1481396093,39327.156210013,18243991.5002,28.9291365649446,42.7254773881078
"246","PA","07","Wild","Susan","Democrat","https://wild.house.gov","202-225-6411","Pennsylvania","42","4207",293921,104757.731701923,42471.6261208169,22491292.375,35.6414586579125,40.5427126292362
"247","SC","07","Fry","Russell","Republican","https://fry.house.gov/","202-225-9895","South Carolina","45","4507",289992,147225.8275959,81047.7521331263,45998784,50.7689272793388,55.0499551991537
"248","TN","07","Green","Mark","Republican","https://markgreen.house.gov","202-225-2811","Tennessee","47","4707",296765,113007.055244699,38410.1172493563,20569201.2501,38.0796439083784,33.9891320645292
"249","TX","07","Fletcher","Lizzie","Democrat","https://fletcher.house.gov","202-225-2571","Texas","48","4807",309603,108452.028718462,30548.4281601291,16437383.594,35.0293856062318,28.1676871526598
"250","VA","07","Spanberger","Abigail","Democrat","https://spanberger.house.gov","202-225-2815","Virginia","51","5107",265948,69733.1104678708,26752.4812118427,12748743.688,26.2205808909527,38.3641014036923
"251","WA","07","Jayapal","Pramila","Democrat","https://jayapal.house.gov","202-225-3106","Washington","53","5307",355519,117666.78721731,29480.7709718741,14439983.9377,33.0971867093769,25.054453910965
"252","WI","07","Tiffany","Thomas","Republican","https://tiffany.house.gov","202-225-3365","Wisconsin","55","5507",305686,120021.438978196,41963.8861848462,21973636.1563,39.2629819416643,34.9636586114166
"253","AZ","08","Lesko","Debbie","Republican","https://lesko.house.gov","202-225-4576","Arizona","04","0408",312395,120438.533985141,52063.356823984,25752795.75,38.5532847789309,43.2281555589237
"254","CA","08","Garamendi","John","Democrat","https://garamendi.house.gov","202-225-1880","California","06","0608",254119,101263.213510407,41736.9602381444,19889429.5625,39.848737603409,41.2163102387177
"255","CO","08","Caraveo","Yadira","Democrat","https://caraveo.house.gov/","202-225-5625","Colorado","08","0808",252464,101408.105386703,32297.805680037,16026810.4065,40.1673527262118,31.8493334994027
"256","FL","08","Posey","Bill","Republican","https://posey.house.gov","202-225-3671","Florida","12","1208",313093,125721.975734567,64210.4364709501,32801409.1875,40.1548344212637,51.0733593675903
"257","GA","08","Scott","Austin","Republican","https://austinscott.house.gov","202-225-6531","Georgia","13","1308",278737,154741.648014943,71263.4537916136,39133258.8755,55.5152878932267,46.0531826472029
"258","IL","08","Krishnamoorthi","Raja","Democrat","https://krishnamoorthi.house.gov","202-225-3711","Illinois","17","1708",278701,84397.7981790592,18896.3402520849,9174080.8597,30.2825602272899,22.3896128332569
"259","IN","08","Bucshon","Larry","Republican","https://bucshon.house.gov","202-225-4636","Indiana","18","1808",303662,137578.627163398,60422.0108476287,32914564.25,45.3065010318704,43.9181667192152
"260","MA","08","Lynch","Stephen","Democrat","https://lynch.house.gov","202-225-8273","Massachusetts","25","2508",314685,107332.111118571,40475.9226853548,19103145.0016,34.1077938632509,37.710916391685
"261","MD","08","Raskin","Jamie","Democrat","https://raskin.house.gov","202-225-5341","Maryland","24","2408",283824,72462.3952656562,16564.811793651,7360882.7817,25.5307497835476,22.8598733631732
"262","MI","08","Kildee","Daniel","Democrat","https://dankildee.house.gov","202-225-3611","Michigan","26","2608",319953,155079.782552998,87522.5383483203,54335383.5,48.4695510131171,56.4371041198807
"263","MN","08","Stauber","Pete","Republican","https://stauber.house.gov","202-225-6211","Minnesota","27","2708",290903,125834.078934484,33535.5866448136,19417279.3125,43.2563703139824,26.6506394204021
"264","MO","08","Smith","Jason","Republican","https://jasonsmith.house.gov","202-225-4404","Missouri","29","2908",297169,150378.764998346,63246.6383701747,33627831.188,50.6037860605736,42.0582243582533
"265","NC","08","Bishop","Dan","Republican","https://danbishop.house.gov","202-225-1976","North Carolina","37","3708",275537,131681.300520565,68587.2819428094,36842380.563,47.7907869072267,52.0858175547088
"266","NJ","08","Menendez","Robert","Democrat","https://menendez.house.gov/","202-225-7919","New Jersey","34","3408",300717,120789.931694319,41655.0166903835,19468919.1584,40.1673106922186,34.4855039704792
"267","NY","08","Jeffries","Hakeem","Democrat","https://jeffries.house.gov","202-225-5936","New York","36","3608",291865,200771.535170947,95575.642413114,50358811.875,68.7891782745267,47.6041797118978
"268","OH","08","Davidson","Warren","Republican","https://davidson.house.gov","202-225-6205","Ohio","39","3908",302661,107372.614708265,69795.7379138905,36813846,35.4761976958595,65.0032953966221
"269","PA","08","Cartwright","Matthew","Democrat","https://cartwright.house.gov","202-225-5546","Pennsylvania","42","4208",301371,138105.239174585,50862.8281341101,27276135.25,45.8256564747718,36.8290359135559
"270","TN","08","Kustoff","David","Republican","https://kustoff.house.gov","202-225-4714","Tennessee","47","4708",293974,134449.360985588,55790.1743080134,31013566.125,45.7351197675943,41.4953064105628
"271","TX","08","Luttrell","Morgan","Republican","https://luttrell.house.gov/","202-225-4901","Texas","48","4808",258379,82344.9609268385,21800.6247864336,12475985.2659,31.8698349814956,26.4747527244599
"272","VA","08","Beyer","Donald","Democrat","https://beyer.house.gov","202-225-4376","Virginia","51","5108",325282,68349.5030354543,28037.3114558126,11602417.5007,21.0123840346082,41.0205052131382
"273","WA","08","Schrier","Kim","Democrat","https://schrier.house.gov","202-225-7761","Washington","53","5308",276552,84556.6064987628,25525.1531091597,10939510.7033,30.5753010279307,30.1870594931375
"274","WI","08","Gallagher","Mike","Republican","https://gallagher.house.gov","202-225-5665","Wisconsin","55","5508",302127,102801.232519235,44689.3914061,24335272.0938,34.0258343409343,43.4716494257385
"275","AZ","09","Gosar","Paul","Republican","https://gosar.house.gov","202-225-2315","Arizona","04","0409",298574,141873.421267064,49667.5553615308,24933043.1255,47.5170045841445,35.0083580969238
"276","CA","09","Harder","Josh","Democrat","https://harder.house.gov","202-225-4540","California","06","0609",234536,124436.767154069,48079.2660920736,26745044.375,53.0565743229478,38.6375081832086
"277","FL","09","Soto","Darren","Democrat","https://soto.house.gov","202-225-9889","Florida","12","1209",244425,113120.606707999,82542.502517543,43508318.813,46.2802932220514,72.9685818699787
"278","GA","09","Clyde","Andrew","Republican","https://clyde.house.gov","202-225-9893","Georgia","13","1309",269790,106118.398879243,34131.1057899184,18413630.3131,39.3337035765753,32.1632310234514
"279","IL","09","Schakowsky","Janice","Democrat","https://schakowsky.house.gov","202-225-2111","Illinois","17","1709",303815,103988.244461484,26018.2084561173,13406315.969,34.2274885905843,25.0203362801785
"280","IN","09","Houchin","Erin","Republican","https://houchin.house.gov/","202-225-5315","Indiana","18","1809",297694,124702.071078458,46629.6158329173,24749438.3755,41.8893464693469,37.3928158767947
"281","MA","09","Keating","William","Democrat","https://keating.house.gov","202-225-3111","Massachusetts","25","2509",314053,115785.562441252,29177.1464100921,15055794.3439,36.8681599733967,25.1992958318066
"282","MI","09","McClain","Lisa","Republican","https://mcclain.house.gov","202-225-2106","Michigan","26","2609",301991,99630.009967191,35963.9570885429,19260731.0319,32.9910527026272,36.0975142935207
"283","NC","09","Hudson","Richard","Republican","https://hudson.house.gov","202-225-3715","North Carolina","37","3709",284434,129104.881398223,76915.764674736,42649646.438,45.3901015343535,59.5761863081613
"284","NJ","09","Pascrell","Bill","Democrat","https://pascrell.house.gov","202-225-5751","New Jersey","34","3409",272310,112550.255577992,40305.584914129,19351130.3751,41.3316644919364,35.8111891502539
"285","NY","09","Clarke","Yvette","Democrat","https://clarke.house.gov","202-225-6231","New York","36","3609",278160,159714.328963039,67477.3973510767,34649543.438,57.4181510508482,42.2488062211952
"286","OH","09","Kaptur","Marcy","Democrat","https://kaptur.house.gov","202-225-4146","Ohio","39","3909",329335,146249.268799144,74893.4788721503,38577532.9385,44.4074479782422,51.2094723529918
"287","PA","09","Meuser","Daniel","Republican","https://meuser.house.gov","202-225-6511","Pennsylvania","42","4209",305191,132867.437425928,40818.4200600748,21341741.6881,43.5358308160881,30.7211615207306
"288","TN","09","Cohen","Steve","Democrat","https://cohen.house.gov","202-225-3265","Tennessee","47","4709",298647,167709.579336445,65903.2043356145,44399992.125,56.1564587410707,39.2960286444968
"289","TX","09","Green","Al","Democrat","https://algreen.house.gov","202-225-7508","Texas","48","4809",272169,134577.42797957,45806.2547277919,27031641.3755,49.4462734475897,34.0371007348614
"290","VA","09","Griffith","H.","Republican","https://morgangriffith.house.gov","202-225-3861","Virginia","51","5109",314102,184516.197284854,58800.4377117784,30818390.438,58.744037696307,31.8673583008016
"291","WA","09","Smith","Adam","Democrat","https://adamsmith.house.gov","202-225-8901","Washington","53","5309",284544,118276.044029693,33854.5968906749,19465121.1251,41.5668733235258,28.6233760762033
"292","CA","10","DeSaulnier","Mark","Democrat","https://desaulnier.house.gov","202-225-2095","California","06","0610",271475,69409.8983125448,16039.4479982444,7383356.7037,25.5676943779518,23.108300672075
"293","FL","10","Frost","Maxwell","Democrat","https://frost.house.gov/","202-225-2176","Florida","12","1210",275968,144723.596509589,100346.460466648,56087329.625,52.4421659430037,69.3366271200978
"294","GA","10","Collins","Mike","Republican","https://collins.house.gov/","202-225-4101","Georgia","13","1310",276780,114543.621324594,51863.1640158257,28193180.25,41.3843562846281,45.2780900551904
"295","IL","10","Schneider","Bradley","Democrat","https://schneider.house.gov","202-225-4835","Illinois","17","1710",272813,87360.8684393493,21600.1574140592,10439224.0159,32.0222527663086,24.7252091238713
"296","MI","10","James","John","Republican","https://james.house.gov/","202-225-4961","Michigan","26","2610",317597,120336.002040021,80323.2095566628,33746599.5,37.8895273066249,66.7491093230344
"297","NC","10","McHenry","Patrick","Republican","https://mchenry.house.gov","202-225-2576","North Carolina","37","3710",292354,129080.544945556,73086.6821500127,39274873.6875,44.1521391688008,56.6209897710297
"298","NJ","10","Payne","Donald","Democrat","https://payne.house.gov","202-225-3436","New Jersey","34","3410",282011,152233.755702202,62737.5213378271,34100740.688,53.9814956516596,41.2113076028642
"299","NY","10","Goldman","Dan","Democrat","https://goldman.house.gov/","202-225-7944","New York","36","3610",311628,125956.680751614,66741.0209971366,33334571.188,40.418922802705,52.987281499383
"300","OH","10","Turner","Michael","Republican","https://turner.house.gov","202-225-6465","Ohio","39","3910",327844,143607.778571533,99759.0252477474,55935680.125,43.8036927842306,69.4663104185934
"301","PA","10","Perry","Scott","Republican","https://perry.house.gov","202-225-5836","Pennsylvania","42","4210",307605,105809.703546487,42414.9843383744,22933296.938,34.3979140607229,40.0861007230209
"302","TX","10","McCaul","Michael","Republican","https://mccaul.house.gov","202-225-2401","Texas","48","4810",280805,110630.418342269,32106.1299287658,10488937.6099,39.3975956062992,29.0210688975575
"303","VA","10","Wexton","Jennifer","Democrat","https://wexton.house.gov","202-225-5136","Virginia","51","5110",256480,39814.8001353638,10728.4409421614,4602623.3986,15.5235496472878,26.9458616034401
"304","WA","10","Strickland","Marilyn","Democrat","https://strickland.house.gov","202-225-9740","Washington","53","5310",287606,119587.789123971,36326.5092072377,18984436.0641,41.5804222178854,30.3764368196318
"305","CA","11","Pelosi","Nancy","Democrat","https://pelosi.house.gov","202-225-4965","California","06","0611",327227,118842.2479899,41468.1045589389,20128083.4375,36.3179835373914,34.8934030282422
"306","FL","11","Webster","Daniel","Republican","https://webster.house.gov","202-225-1002","Florida","12","1211",292210,119601.210962028,41125.7318036395,23745409.188,40.9298829478897,34.3857152221446
